"Markettype","Trdwnt","Cwretmdos"
"111","2001-01","0.021897"
"117","2001-01","0.022714"
"127","2001-01","0.021897"
"33","2001-01","0.025961"
"20","2001-01","0.019096"
"5","2001-02","-0.013309"
"10","2001-02","-0.010454"
"15","2001-02","-0.013211"
"21","2001-02","-0.013309"
"31","2001-02","-0.013211"
"37","2001-02","-0.013309"
"47","2001-02","-0.013211"
"53","2001-02","-0.013309"
"63","2001-02","-0.013211"
"69","2001-02","-0.013309"
"79","2001-02","-0.013211"
"85","2001-02","-0.013309"
"95","2001-02","-0.013211"
"101","2001-02","-0.013309"
"111","2001-02","-0.013211"
"117","2001-02","-0.013309"
"127","2001-02","-0.013211"
"33","2001-02","-0.012644"
"20","2001-02","-0.014051"
"5","2001-03","-0.019392"
"10","2001-03","-0.017316"
"15","2001-03","-0.019321"
"21","2001-03","-0.019392"
"31","2001-03","-0.019321"
"37","2001-03","-0.019392"
"47","2001-03","-0.019321"
"53","2001-03","-0.019392"
"63","2001-03","-0.019321"
"69","2001-03","-0.019392"
"79","2001-03","-0.019321"
"85","2001-03","-0.019392"
"95","2001-03","-0.019321"
"101","2001-03","-0.019392"
"111","2001-03","-0.019321"
